B_BUS_ID;B_LEA_OR_ENTITY_NAME;F_CITY;C_FLEET_OPERATOR_1_IF_APPLICABLE;N_CURRENT_STATUS_OF_BUS;O_BATCH;T_BUS_OEM;U_ELECTRIC_POWERTRAIN_MANUFACTURER;V_MODEL;W_TYPE;X_DEALER;Y_MULTIPLE_FUNDING_SOURCES_USED;Z_FUNDING_SOURCE_1;AA_AGENCY_ADMINISTERING_FUNDS_1;Z_FUNDING_SOURCE_2;AB_DOLLAR_AMOUNT_TOWARD_BUS;AE_DOLLAR_AMOUNT_TOWARD_CHARGER;A_DATE_OF_MOST_RECENT_SOURCE;B_SOURCE_1;B_SOURCE_2;LEA_ID_NON_TRIM;QUARTER_AWARDED;ANNEE_ORDERED;QUARTER_ORDERED;ANNEE_DELIVERED;QUARTER_DELIVERED;ANNEE_OPERATING;QUARTER_OPERATING;fundraiser_1 montant;fundraiser-2 montant;LEA_ID;ANNEE_AWARDED;date_awarded;date_ordered;date_delivered;date_operating;awarded_to_ordered;ordered_to_delivered;delivered_to_operating
6;Sulphur Springs Union;Canyon Country;;Delivered;1;;;;A;;False;School Bus Replacement Program;California Energy Commission (CEC);;227128;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.energy.ca.gov/sites/default/files/2020-10/2020-09-09_Minutes_ADA.pdf;638220;7;;;2021;10;;;287128;0;638220;2020;01/07/2020;;01/10/2021;;;;
7;Sulphur Springs Union;Canyon Country;;Delivered;1;;;;A;;False;School Bus Replacement Program;California Energy Commission (CEC);;227128;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.energy.ca.gov/sites/default/files/2020-10/2020-09-09_Minutes_ADA.pdf;638220;7;;;2021;10;;;287128;0;638220;2020;01/07/2020;;01/10/2021;;;;
38;Twin Rivers Unified;McClellan;;Operating;3;Lion Electric;;LionC;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;259284;60000;jeudi 27 octobre 2022;https://thelionelectric.com/documents/en/CEC_first_deliveries.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2019;10;;;319284;0;601332;2019;01/07/2019;;01/10/2019;;;;
39;Twin Rivers Unified;McClellan;;Operating;3;Lion Electric;;LionC;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;259284;60000;jeudi 27 octobre 2022;https://thelionelectric.com/documents/en/CEC_first_deliveries.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2019;10;;;319284;0;601332;2019;01/07/2019;;01/10/2019;;;;
40;Twin Rivers Unified;McClellan;;Operating;3;Lion Electric;;LionC;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;259284;60000;jeudi 27 octobre 2022;https://thelionelectric.com/documents/en/CEC_first_deliveries.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2019;10;;;319284;0;601332;2019;01/07/2019;;01/10/2019;;;;
41;Twin Rivers Unified;McClellan;;Operating;3;Lion Electric;;LionC;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;259284;60000;jeudi 27 octobre 2022;https://thelionelectric.com/documents/en/CEC_first_deliveries.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2019;10;;;319284;0;601332;2019;01/07/2019;;01/10/2019;;;;
42;Twin Rivers Unified;McClellan;;Operating;3;Lion Electric;;LionC;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;259284;60000;jeudi 27 octobre 2022;https://thelionelectric.com/documents/en/CEC_first_deliveries.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2019;10;;;319284;0;601332;2019;01/07/2019;;01/10/2019;;;;
43;Twin Rivers Unified;McClellan;;Delivered;3;Blue Bird;;;D;;False;School Bus Replacement Program;California Energy Commission (CEC);;270109;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/sites/default/files/2020-01/2019-07-15_Minutes_ada.pdf;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;601332;7;;;2022;4;;;330109;0;601332;2019;01/07/2019;;01/04/2022;;;;
1;Ukiah Unified;Ukiah;;Operating;1;Lion Electric;;;C;;False;Rural School Bus Pilot Project;California Air Resources Board (CARB);;400000;5000;vendredi 13 mai 2022;https://www.caclimateinvestments.ca.gov/2019-profiles/lct-schoolbus;https://www.schoolbusfleet.com/10041204/california-announces-electric-school-bus-funds-for-rural-districts;640300;;;;2018;;;;405000;0;640300;2018;01/01/2018;;01/01/2018;;;;
4;Ukiah Unified;Ukiah;;Operating;2;;;;A;;False;School Bus Replacement Program;California Energy Commission (CEC);;233424;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.uusd.net/apps/news/article/1570947;640300;10;;;2021;10;;;293424;0;640300;2019;01/10/2019;;01/10/2021;;;;
7;Ukiah Unified;Ukiah;;Operating;2;;;;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;261184;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.uusd.net/apps/news/article/1570947;640300;10;;;2021;10;;;321184;0;640300;2019;01/10/2019;;01/10/2021;;;;
8;Ukiah Unified;Ukiah;;Operating;2;;;;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;261184;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.uusd.net/apps/news/article/1570947;640300;10;;;2021;10;;;321184;0;640300;2019;01/10/2019;;01/10/2021;;;;
9;Ukiah Unified;Ukiah;;Operating;2;;;;C;;False;School Bus Replacement Program;California Energy Commission (CEC);;261184;60000;jeudi 27 octobre 2022;https://www.energy.ca.gov/files/zev-and-infrastructure-stats-data;https://www.uusd.net/apps/news/article/1570947;640300;10;;;2021;10;;;321184;0;640300;2019;01/10/2019;;01/10/2021;;;;
2;Wilsona Elementary;Palmdale;;Delivered;1;Blue Bird;;;D;;False;Rural School Bus Pilot Project;California Air Resources Board (CARB);;400000;5000;vendredi 13 mai 2022;https://www.avdailynews.com/single-post/2020/05/11/lucky-13-has-arrived;https://www.ncuaqmd.org/files/bc92f5cb1/RSBPP+YR+2+GGRF+17-18+Selection+List.pdf;642810;7;;;2020;4;;;405000;0;642810;2018;01/07/2018;;01/04/2020;;;;
1;Winters Joint Unified;Winters;;Delivered;1;Lion Electric;;LionC;C;;False;California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP);California Air Resources Board (CARB);;220000;;mercredi 31 ao?t 2022;https://californiahvip.org/industryinitiatives/#schoolbusdashboard;Correspondence with CARB 8/31/22;642930;10;;;2020;7;;;220000;0;642930;2019;01/10/2019;;01/07/2020;;;;
2;Winters Joint Unified;Winters;;Delivered;1;Lion Electric;;LionC;C;;False;California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP);California Air Resources Board (CARB);;220000;;mercredi 31 ao?t 2022;https://californiahvip.org/industryinitiatives/#schoolbusdashboard;Correspondence with CARB 8/31/22;642930;10;;;2020;7;;;220000;0;642930;2019;01/10/2019;;01/07/2020;;;;
3;Winters Joint Unified;Winters;;Delivered;1;Lion Electric;;LionC;C;;False;California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP);California Air Resources Board (CARB);;220000;;mercredi 31 ao?t 2022;https://californiahvip.org/industryinitiatives/#schoolbusdashboard;Correspondence with CARB 8/31/22;642930;10;;;2020;10;;;220000;0;642930;2019;01/10/2019;;01/10/2020;;;;
